ID,Country,Place.Name,Latitude,Longitude
7110,DE,Burggen,47.7833,10.8167
7834,DE,Neuried,47.7833,11.2833
7977,DE,Parsberg,47.7833,11.8667
7961,DE,Altenmarkt,47.7833,12.1333
1537,DE,Miesbach,47.7861,11.8372
1834,DE,Raubling,47.7895,12.1093
2567,DE,Pei<df>enberg,47.7902,11.0575
8018,DE,Bayern,47.795,12.5338
2034,DE,M<fc>llheim,47.8,7.6333
3136,DE,Badenweiler,47.8,7.6833
5238,DE,Aitern,47.8,7.9
4756,DE,Stei<df>lingen,47.8,8.9333
3871,DE,Sipplingen,47.8,9.1
4912,DE,Owingen,47.8,9.1667
7671,DE,Deggenhausertal,47.8,9.4
3927,DE,Horgenzell,47.8,9.5
1516,DE,Altusried,47.8,10.2167
4576,DE,Dietmannsried,47.8,10.2833
3470,DE,Haldenwang,47.8,10.35
3433,DE,Peiting,47.8,10.9333
4290,DE,Hohenpei<df>enberg,47.8,11
8071,DE,St<f6>tten,47.8,12.2667
8207,DE,Holzhausen,47.8,12.85
8180,DE,Feldkirchen,47.8,12.9667
6490,DE,Bergen,47.8036,12.5828
2129,DE,Ainring,47.8054,12.9567
5792,DE,Rohrdorf,47.8081,12.1884
1141,DE,Weingarten,47.8104,9.6387
2376,DE,Schongau,47.8105,10.8882
4753,DE,Bernau Am Chiemsee,47.8114,12.377
3536,DE,Neuenburg,47.8134,7.5635
7094,DE,Neuenburg Am Rhein,47.8167,7.5667
2502,DE,Bonndorf,47.8167,8.35
6040,DE,Bonndorf Im Schwarzwald,47.8167,8.35
5086,DE,Tengen,47.8167,8.6667
4758,DE,Volkertshausen,47.8167,8.8667
228,DE,Bodman-ludwigshafen,47.8167,9.0667
7944,DE,Altheim,47.8167,9.25
5658,DE,Heiligenberg,47.8167,9.3167
8573,DE,Locherhof,47.8167,9.5
5602,DE,Berg,47.8167,9.6
1910,DE,Baienfurt,47.8167,9.65
5944,DE,Wolfegg,47.8167,9.8
2736,DE,Oberg<fc>nzburg,47.8167,10.45
7163,DE,G<fc>nzach,47.8167,10.45
5700,DE,Ruderatshofen,47.8167,10.5833
7299,DE,Altenstadt,47.8167,10.8667
4041,DE,Polling,47.8167,11.1333
2446,DE,K<f6>nigsdorf,47.8167,11.4833
4485,DE,Bernau,47.8167,12.3667
8637,DE,Thundorf,47.8167,12.9167
2149,DE,<dc>bersee,47.8176,12.4832
3190,DE,Irschenberg,47.8184,11.8989
2748,DE,Leutkirch,47.825,10.0167
5878,DE,Wieden,47.8333,7.8833
5105,DE,Todtnau,47.8333,7.95
8320,DE,Wutach,47.8333,8.4333
3121,DE,Blumberg,47.8333,8.5333
4231,DE,Orsingen-nenzingen,47.8333,8.9417
4705,DE,Untrasried,47.8333,10.3833
5084,DE,Apfeltrang,47.8333,10.5833
5888,DE,Bidingen,47.8333,10.7333
5073,DE,Seeshaupt,47.8333,11.3
5072,DE,Warngau,47.8333,11.7333
7876,DE,Pfaffing,47.8333,11.95
4086,DE,Riedering,47.8333,12.2
8190,DE,Stetten,47.8333,12.3
4733,DE,Siegsdorf,47.8333,12.65
630,DE,Neukirchen,47.8333,12.7333
8754,DE,Neukirchen Am Teisenberg,47.8333,12.7333
1348,DE,Weilheim,47.8376,11.1489
1813,DE,Freilassing,47.8387,12.9743
275,DE,Rosenheim,47.8391,12.1026
4487,DE,Grabenst<e4>tt,47.8422,12.5475
2877,DE,Sulzburg,47.8437,7.7042
1116,DE,Kolbermoor,47.8466,12.0649
1545,DE,Prien,47.8469,12.3453
7070,DE,Prien Am Chiemsee,47.8469,12.3453
2690,DE,Buggingen,47.85,7.6333
8200,DE,Unterm<fc>nstertal,47.85,7.7833
3722,DE,Engen,47.85,8.7667
2118,DE,Stockach,47.85,9.0167
5657,DE,Herdwangen-sch<f6>nach,47.85,9.2
4745,DE,Bergatreute,47.85,9.75
5611,DE,Hohenfurch,47.85,10.9
3466,DE,Stephanskirchen,47.85,12.1833
3799,DE,Aach,47.8511,8.85
4731,DE,Teisendorf,47.853,12.7868
183,DE,Rosenheim,47.855,12.1232
3289,DE,Eurasburg,47.8559,11.4074
5109,DE,Ballrechten,47.8601,7.7013
1540,DE,Bad Aibling,47.861,12.0107
3104,DE,Feldberg,47.865,8.0704
2207,DE,Eigeltingen,47.8667,8.9
4975,DE,Herdwangen,47.8667,9.1833
3561,DE,Wilhelmsdorf,47.8667,9.4167
4707,DE,Friesenried,47.8667,10.5333
4291,DE,Wielenbach,47.8667,11.15
7260,DE,Bernried,47.8667,11.3
2721,DE,Weyarn,47.8667,11.8
8283,DE,Aibling,47.8667,12
7851,DE,Prien,47.8667,12.3333
7509,DE,Chiemsee,47.8667,12.4167
4313,DE,Surberg,47.8667,12.7
8067,DE,Mehring,47.8667,12.8
639,DE,Geretsried,47.8695,11.4687
503,DE,Traunstein,47.87,12.6388
197,DE,Rosenheim,47.8748,12.111
198,DE,Holzkirchen,47.8818,11.6988
2634,DE,Staufen,47.8823,7.7282
3312,DE,Eschbach,47.8833,7.65
3827,DE,Heitersheim,47.8833,7.6667
7941,DE,Lautenbach,47.8833,9.2167
2691,DE,Gr<f6>nenbach,47.8833,10.2167
3199,DE,Wolfertschwenden,47.8833,10.2667
5698,DE,St<f6>ttwang,47.8833,10.7167
4436,DE,Kinsau,47.8833,10.9167
5960,DE,Wessobrunn,47.8833,11.0333
248,DE,Bruckm<fc>hl,47.8833,11.9167
3743,DE,Breitbrunn,47.8833,12.4
5585,DE,Gstadt Am Chiemsee,47.8833,12.4167
5669,DE,Gstadt,47.8833,12.4167
8022,DE,Wang,47.8833,12.6
6913,DE,Surheim,47.8833,12.95
4784,DE,L<f6>ffingen,47.8838,8.3438
2603,DE,Lenzkirch,47.8851,8.1661
5296,DE,Gro<df>karolinenfeld,47.8856,12.0744
4012,DE,Rimsting,47.886,12.3403
4754,DE,Chieming,47.8913,12.5384
1342,DE,Kaufbeuren,47.8943,10.6319
3984,DE,Aichstetten,47.8973,10.0565
3153,DE,Hinterzarten,47.9,8.1
7097,DE,Titisee,47.9,8.15
4252,DE,Titisee-neustadt,47.9,8.1667
7229,DE,Ebenweiler,47.9,9.5167
3123,DE,Wolpertswende,47.9,9.6167
8847,DE,Ehrensberg,47.9,9.8
4329,DE,Lautrach,47.9,10.1333
4763,DE,Irsee,47.9,10.5667
4422,DE,Kaltental,47.9,10.75
6166,DE,Apfeldorf,47.9,10.9333
7232,DE,Rott,47.9,10.9667
5279,DE,M<fc>nsing,47.9,11.3667
1826,DE,Valley,47.9,11.7833
4650,DE,Feldkirchen-westerham,47.9,11.85
3811,DE,Prutting,47.9,12.2
4050,DE,Bad Endorf,47.9,12.3
5095,DE,Ronsberg,47.9004,10.4119
2408,DE,Otterfing,47.9065,11.668
2511,DE,Wolfratshausen,47.9075,11.4273
2496,DE,Bad Wurzach,47.9082,9.8946
2393,DE,Tutzing,47.9107,11.2806
4220,DE,Geisingen,47.9158,8.6423
1282,DE,Bad Waldsee,47.9166,9.7495
1274,DE,Bad Krozingen,47.9167,7.7
7601,DE,Ehrenkirchen,47.9167,7.75
5107,DE,Bollschweil,47.9167,7.7833
4257,DE,Friedenweiler,47.9167,8.25
4439,DE,Emmingen,47.9167,8.85
3393,DE,Kronburg,47.9167,10.1667
5696,DE,Woringen,47.9167,10.2
4706,DE,Eggenthal,47.9167,10.5167
1985,DE,Denklingen,47.9167,10.85
3157,DE,Raisting,47.9167,11.1
8066,DE,Anzing,47.9167,12.2667
7076,DE,Sondermoning,47.9167,12.5667
8112,DE,Rettenbach,47.9167,12.65
5907,DE,Weibhausen,47.9167,12.7167
4486,DE,Petting,47.9167,12.8167
3454,DE,H<fc>fingen,47.9213,8.4991
4428,DE,Hartheim,47.9256,7.6197
1885,DE,Pfullendorf,47.9293,9.2436
4760,DE,Pforzen,47.9297,10.6128
2905,DE,Altshausen,47.9303,9.5459
4010,DE,Br<e4>unlingen,47.9311,8.4543
2661,DE,Waging,47.9323,12.7295
4750,DE,Waging Am See,47.9323,12.7295
4332,DE,Pfaffenweiler,47.9333,7.75
5106,DE,S<f6>lden,47.9333,7.8167
4254,DE,Horben,47.9333,7.8667
3818,DE,Oberried,47.9333,7.95
5241,DE,Breitnau,47.9333,8.0833
7939,DE,Reichenbach,47.9333,8.25
8007,DE,Zimmern,47.9333,8.7167
4945,DE,Emmingen-liptingen,47.9333,8.8833
6683,DE,Graben,47.9333,9.8333
6025,DE,Aitrach,47.9333,10.0833
3317,DE,Ottobeuren,47.9333,10.3
7706,DE,Germaringen,47.9333,10.6667
2506,DE,Tuntenhausen,47.9333,12.0167
4091,DE,Schechen,47.9333,12.1333
4237,DE,S<f6>chtenau,47.9333,12.2333
4751,DE,Eggst<e4>tt,47.9333,12.3833
7857,DE,Seebruck,47.9333,12.4833
8047,DE,Traunwalchen,47.9333,12.6
4939,DE,Immendingen,47.9338,8.7045
8556,DE,Offnadingen,47.9342,7.7123
3961,DE,Laufen,47.936,12.936
2562,DE,Wald,47.9418,9.1641
5694,DE,Wittnau,47.95,7.8167
5452,DE,Ho<df>kirch,47.95,9.45
39,DE,Unterschwarzach,47.95,9.8667
3944,DE,Markt Rettenbach,47.95,10.4
5992,DE,Vilgertshofen,47.95,10.9167
6100,DE,Thaining,47.95,10.9667
2702,DE,Die<df>en,47.95,11.1
3897,DE,Feldafing,47.95,11.3
3900,DE,Icking,47.95,11.4333
2337,DE,Glonn,47.95,11.9
7415,DE,Baiern,47.95,11.9
3804,DE,Vogtareuth,47.95,12.1833
7878,DE,Oderberg,47.95,12.6
4022,DE,Ostrach,47.9512,9.3809
3421,DE,Aulendorf,47.9512,9.6351
2486,DE,Halfing,47.9525,12.2791
504,DE,Traunreut,47.9552,12.5924
1430,DE,Donaueschingen,47.9594,8.4989
4868,DE,Schallstadt,47.9597,7.7508
3209,DE,Merzhausen,47.9667,7.8333
2089,DE,Kirchzarten,47.9667,7.95
2686,DE,Buchenbach,47.9667,8.0167
2314,DE,Eisenbach,47.9667,8.2667
38,DE,Unterbaldingen,47.9667,8.6167
4345,DE,Neuhausen Ob Eck,47.9667,8.9333
4790,DE,Ebersbach-musbach,47.9667,9.5833
4087,DE,Benningen,47.9667,10.2167
3821,DE,Hawangen,47.9667,10.2667
5094,DE,Unteregg,47.9667,10.4667
8348,DE,Pflugdorf,47.9667,10.9167
2210,DE,Pocking,47.9667,11.3
2006,DE,Berg,47.9667,11.35
8808,DE,Irschenhausen,47.9667,11.4333
3274,DE,Sauerlach,47.9667,11.65
2976,DE,Aying,47.9667,11.7833
4732,DE,Seebruck,47.9667,12.4667
3878,DE,Taching Am See,47.9667,12.7333
6613,DE,Freiburg,47.9793,7.822
184,DE,Tuttlingen,47.9796,8.8074
269,DE,Freiburg,47.9809,7.7957
4990,DE,Freiburg,47.9809,7.8327
1504,DE,Memmingen,47.9826,10.1725
3296,DE,Stegen,47.9833,7.9667
8851,DE,Biesingen,47.9833,8.5833
3462,DE,Me<df>kirch,47.9833,9.1167
2044,DE,Oberessendorf,47.9833,9.7833
4708,DE,Memmingerberg,47.9833,10.2167
8400,DE,Beckstetten,47.9833,10.6667
7195,DE,Unterdie<df>en,47.9833,10.8333
1928,DE,Andechs,47.9833,11.1833
8647,DE,Maising,47.9833,11.3
6934,DE,Sch<e4>ftlarn,47.9833,11.4667
8155,DE,Ebenhausen,47.9833,11.4667
3985,DE,Rott Am Inn,47.9833,12.1333
5583,DE,Pittenhart,47.9833,12.3833
6736,DE,Freiburg,47.9874,7.8945
150,DE,Starnberg,47.9904,11.3463
4727,DE,Amerang,47.991,12.3086
655,DE,Freiburg,47.9942,7.847
8574,DE,Freeburg,47.9942,7.847
5805,DE,Fridolfing,47.9994,12.8321
1273,DE,Freiburg,48,7.85
7694,DE,Freiburg Im Breisgau,48,7.85
3143,DE,Wurmlingen,48,8.7833
8831,DE,Steinbronnen,48,9.5667
4920,DE,Tannheim,48,10.0833
2980,DE,Buxheim,48,10.1333
5699,DE,Jengen,48,10.7333
4078,DE,Waal,48,10.7833
302,DE,Herrsching,48,11.1833
2778,DE,Stra<df>lach,48,11.5167
4842,DE,Egmating,48,11.8
4235,DE,Griesst<e4>tt,48,12.1833
3956,DE,Obing,48,12.4167
1973,DE,Altenmarkt,48,12.5333
2244,DE,Palling,48,12.6333
730,DE,Freiburg,48.0018,7.818
5171,DE,Eberhardzell,48.0027,9.8244
2659,DE,Bad Schussenried,48.006,9.6583
2284,DE,Bad W<f6>rishofen,48.0077,10.5968
1727,DE,Freiburg,48.0098,7.8545
1838,DE,Bad D<fc>rrheim,48.0123,8.5551
5693,DE,Merdingen,48.0167,7.6833
7954,DE,<dc>berauchen,48.0167,8.45
7580,DE,Brigachtal,48.0167,8.4667
8581,DE,Kirchdorf,48.0167,8.4833
7844,DE,Kirchberg,48.0167,8.7167
3327,DE,Fridingen,48.0167,8.9333
4344,DE,Leibertingen,48.0167,8.9833
4195,DE,Ingoldingen,48.0167,9.7333
5757,DE,Rot An Der Rot,48.0167,10.0333
4921,DE,Holzg<fc>nz,48.0167,10.2667
4704,DE,Westerheim,48.0167,10.3
5093,DE,Dirlewang,48.0167,10.5
5625,DE,Apfeltrach,48.0167,10.5
2701,DE,Hofstetten,48.0167,10.9667
2470,DE,Baierbrunn,48.0167,11.4833
7326,DE,Deisenhofen,48.0167,11.6
1519,DE,Brunnthal,48.0167,11.6833
6102,DE,Hofolding,48.0167,11.6833
2818,DE,H<f6>henkirchen,48.0167,11.7167
5794,DE,H<f6>henkirchen-siegertsbrunn,48.0167,11.7333
4841,DE,Oberpframmern,48.0167,11.8167
7318,DE,Tegernau,48.0167,12.0333
6165,DE,Ramerberg,48.0167,12.15
632,DE,Trostberg,48.0175,12.5346
7499,DE,Fridingen An Der Donau,48.0203,8.9333
729,DE,Freiburg,48.0207,7.8167
2513,DE,Breisach,48.0328,7.5829
2075,DE,Umkirch,48.0333,7.7667
7988,DE,Rietheim,48.0333,8.45
4338,DE,Tuningen,48.0333,8.6
2024,DE,Durchhausen,48.0333,8.6833
4335,DE,M<fc>hlheim,48.0333,8.8833
4851,DE,Krauchenwies,48.0333,9.25
2635,DE,Saulgau,48.0333,9.6
139,DE,Hochdorf,48.0333,9.7833
7866,DE,Wettenberg,48.0333,9.8333
8216,DE,Stetten,48.0333,10.4333
3339,DE,P<fc>rgen,48.0333,10.9167
6097,DE,Utting Am Ammersee,48.0333,11.0833
300,DE,Seefeld,48.0333,11.2
315,DE,Oberhaching,48.0333,11.6
8577,DE,Jacobneuharting,48.0333,12.05
1035,DE,Freiburg,48.0339,7.8418
1345,DE,Buchloe,48.0343,10.7249
1371,DE,Mindelheim,48.043,10.4949
4663,DE,Mengen,48.0463,9.3309
1372,DE,Gr<fc>nwald,48.0483,11.5317
4943,DE,Ihringen,48.05,7.65
2076,DE,Gundelfingen,48.05,7.8667
3911,DE,Heuweiler,48.05,7.8667
256,DE,Furtwangen,48.05,8.2
4922,DE,V<f6>hrenbach,48.05,8.3
7873,DE,Weigheim,48.05,8.6167
8024,DE,Schwarzach,48.05,9.4667
5697,DE,Berkheim,48.05,10.0833
4759,DE,Niederrieden,48.05,10.1833
4328,DE,Erkheim,48.05,10.35
1505,DE,Landsberg,48.05,10.8667
4083,DE,Schondorf,48.05,11.0833
6177,DE,Schondorf Am Ammersee,48.05,11.0833
7981,DE,Gr<fc>nwald,48.05,11.5167
2482,DE,Pullach Im Isartal,48.05,11.5333
7896,DE,Pullach,48.05,11.5333
236,DE,Taufkirchen,48.05,11.6167
1542,DE,Grafing,48.05,11.9667
6053,DE,Eiselfing,48.05,12.2333
5060,DE,Kienberg,48.05,12.4667
7338,DE,Glottertal,48.0508,7.9634
2309,DE,Tittmoning,48.0523,12.7734
6915,DE,Landsberg Am Lech,48.0528,10.8689
2588,DE,T<fc>rkheim,48.0535,10.6248
706,DE,Ottobrunn,48.0624,11.6686
2053,DE,Gauting,48.0664,11.3834
1423,DE,Villingen-schwenningen,48.0667,8.45
3668,DE,Balgheim,48.0667,8.7667
7570,DE,Mahlstetten,48.0667,8.8333
5461,DE,Irndorf,48.0667,8.9667
