shop_id,shop_postcode,warehouse_postcode,distance_km
388,CA26,CA26,0.0
389,CA27,CA27,0.0
390,CA28,CA28,0.0
391,CA3,CA3,0.0
392,CA4,CA4,0.0
393,CA5,CA5,0.0
394,CA6,CA6,0.0
395,CA7,CA7,0.0
396,CA8,CA8,0.0
397,CA9,CA9,0.0
398,CB1,CB1,0.0
399,CB10,CB10,0.0
400,CB11,CB11,0.0
401,CB2,CB2,0.0
402,CB21,CB21,0.0
403,CB22,CB22,0.0
404,CB23,CB23,0.0
405,CB24,CB24,0.0
406,CB25,CB25,0.0
407,CB3,CB3,0.0
408,CB4,CB4,0.0
409,CB5,CB5,0.0
410,CB6,CB6,0.0
411,CB7,CB7,0.0
412,CB8,CB8,0.0
413,CB9,CB9,0.0
414,CF10,CF10,0.0
415,CF11,CF11,0.0
416,CF14,CF14,0.0
417,CF15,CF15,0.0
418,CF23,CF23,0.0
419,CF24,CF24,0.0
420,CF3,CF3,0.0
421,CF31,CF31,0.0
422,CF32,CF32,0.0
423,CF33,CF33,0.0
424,CF34,CF34,0.0
425,CF35,CF35,0.0
426,CF36,CF36,0.0
427,CF37,CF37,0.0
428,CF38,CF38,0.0
429,CF39,CF39,0.0
430,CF40,CF40,0.0
431,CF41,CF41,0.0
432,CF42,CF42,0.0
433,CF43,CF43,0.0
434,CF44,CF44,0.0
435,CF45,CF45,0.0
436,CF46,CF46,0.0
437,CF47,CF47,0.0
438,CF48,CF48,0.0
439,CF5,CF5,0.0
440,CF61,CF61,0.0
441,CF62,CF62,0.0
442,CF63,CF63,0.0
443,CF64,CF64,0.0
444,CF71,CF71,0.0
445,CF72,CF72,0.0
446,CF81,CF81,0.0
447,CF82,CF82,0.0
448,CF83,CF83,0.0
449,CH1,CH1,0.0
450,CH2,CH2,0.0
451,CH3,CH3,0.0
452,CH4,CH4,0.0
453,CH41,CH41,0.0
454,CH42,CH42,0.0
455,CH43,CH43,0.0
456,CH44,CH44,0.0
457,CH45,CH45,0.0
458,CH46,CH46,0.0
459,CH47,CH47,0.0
460,CH48,CH48,0.0
461,CH49,CH49,0.0
462,CH5,CH5,0.0
463,CH6,CH6,0.0
464,CH60,CH60,0.0
465,CH61,CH61,0.0
466,CH62,CH62,0.0
467,CH63,CH63,0.0
468,CH64,CH64,0.0
469,CH65,CH65,0.0
470,CH66,CH66,0.0
471,CH7,CH7,0.0
472,CH8,CH8,0.0
473,CM0,CM0,0.0
474,CM1,CM1,0.0
475,CM11,CM11,0.0
476,CM12,CM12,0.0
477,CM13,CM13,0.0
478,CM14,CM14,0.0
479,CM15,CM15,0.0
480,CM16,CM16,0.0
481,CM17,CM17,0.0
482,CM18,CM18,0.0
483,CM19,CM19,0.0
484,CM2,CM2,0.0
485,CM20,CM20,0.0
486,CM21,CM21,0.0
487,CM22,CM22,0.0
488,CM23,CM23,0.0
489,CM24,CM24,0.0
490,CM3,CM3,0.0
491,CM4,CM4,0.0
492,CM5,CM5,0.0
493,CM6,CM6,0.0
494,CM7,CM7,0.0
495,CM77,CM77,0.0
496,CM8,CM8,0.0
497,CM9,CM9,0.0
498,CO1,CO1,0.0
499,CO10,CO10,0.0
500,CO11,CO11,0.0
501,CO12,CO12,0.0
502,CO13,CO13,0.0
503,CO14,CO14,0.0
504,CO15,CO15,0.0
505,CO16,CO16,0.0
506,CO2,CO2,0.0
507,CO3,CO3,0.0
508,CO4,CO4,0.0
509,CO5,CO5,0.0
510,CO6,CO6,0.0
511,CO7,CO7,0.0
512,CO8,CO8,0.0
513,CO9,CO9,0.0
514,CR0,CR0,0.0
515,CR2,CR2,0.0
516,CR3,CR3,0.0
517,CR4,CR4,0.0
518,CR5,CR5,0.0
519,CR6,CR6,0.0
520,CR7,CR7,0.0
521,CR8,CR8,0.0
522,CR9,CR0,0.0
523,CT1,CT1,0.0
524,CT10,CT10,0.0
525,CT11,CT11,0.0
526,CT12,CT12,0.0
527,CT13,CT13,0.0
528,CT14,CT14,0.0
529,CT15,CT15,0.0
530,CT16,CT16,0.0
531,CT17,CT17,0.0
532,CT18,CT18,0.0
533,CT19,CT19,0.0
534,CT2,CT2,0.0
535,CT20,CT20,0.0
536,CT21,CT21,0.0
537,CT3,CT3,0.0
538,CT4,CT4,0.0
539,CT5,CT5,0.0
540,CT6,CT6,0.0
541,CT7,CT7,0.0
542,CT8,CT8,0.0
543,CT9,CT9,0.0
544,CV1,CV1,0.0
545,CV10,CV10,0.0
546,CV11,CV11,0.0
547,CV12,CV12,0.0
548,CV13,CV13,0.0
549,CV2,CV2,0.0
550,CV21,CV21,0.0
551,CV22,CV22,0.0
552,CV23,CV23,0.0
553,CV3,CV3,0.0
554,CV31,CV31,0.0
555,CV32,CV32,0.0
556,CV33,CV33,0.0
557,CV34,CV34,0.0
558,CV35,CV35,0.0
559,CV36,CV36,0.0
560,CV37,CV37,0.0
561,CV4,CV4,0.0
562,CV47,CV47,0.0
563,CV5,CV5,0.0
564,CV6,CV6,0.0
565,CV7,CV7,0.0
566,CV8,CV8,0.0
567,CV9,CV9,0.0
568,CW1,CW1,0.0
569,CW10,CW10,0.0
570,CW11,CW11,0.0
571,CW12,CW12,0.0
572,CW2,CW2,0.0
573,CW3,CW3,0.0
574,CW4,CW4,0.0
575,CW5,CW5,0.0
576,CW6,CW6,0.0
577,CW7,CW7,0.0
578,CW8,CW8,0.0
579,CW9,CW9,0.0
580,DA1,DA1,0.0
581,DA10,DA10,0.0
582,DA11,DA11,0.0
583,DA12,DA12,0.0
584,DA13,DA13,0.0
585,DA14,DA14,0.0
586,DA15,DA15,0.0
587,DA16,DA16,0.0
588,DA17,DA17,0.0
589,DA18,DA18,0.0
590,DA2,DA2,0.0
591,DA3,DA3,0.0
592,DA4,DA4,0.0
593,DA5,DA5,0.0
594,DA6,DA6,0.0
595,DA7,DA7,0.0
596,DA8,DA8,0.0
597,DA9,DA9,0.0
598,DD1,DD1,0.0
599,DD10,DD10,0.0
600,DD11,DD11,0.0
601,DD2,DD2,0.0
602,DD3,DD3,0.0
603,DD4,DD4,0.0
604,DD5,DD5,0.0
605,DD6,DD6,0.0
606,DD7,DD7,0.0
607,DD8,DD8,0.0
608,DD9,DD9,0.0
609,DE1,DE1,0.0
610,DE11,DE11,0.0
611,DE12,DE12,0.0
612,DE13,DE13,0.0
613,DE14,DE14,0.0
614,DE15,DE15,0.0
615,DE21,DE21,0.0
616,DE22,DE22,0.0
617,DE23,DE23,0.0
618,DE24,DE24,0.0
619,DE3,DE3,0.0
620,DE4,DE4,0.0
621,DE45,DE45,0.0
622,DE5,DE5,0.0
623,DE55,DE55,0.0
624,DE56,DE56,0.0
625,DE6,DE6,0.0
626,DE65,DE65,0.0
627,DE7,DE7,0.0
628,DE72,DE72,0.0
629,DE73,DE73,0.0
